Opponent A Wins,method,Opponent A,Total Strikes Attempted (A),Total Strikes Landed (A),Takedowns (A),Control Time (A),Significant Strikes: (A),Knockdowns (A),Opponent B,Total Strikes Attempted (B),Total Strikes Landed (B),Takedowns (B),Control Time (B),Significant Strikes: (B),Knockdowns (B)
1,0,Bryan Battle,9,3,0,0:03,3,1,Gabe Green,12,6,0,0:00,6,0
1,0,Carlos Ulberg,21,13,0,0:08,13,1,Ihor Potieria,9,5,0,0:00,5,0
1,0,Matt Brown,26,22,0,0:02,11,1,Court McGee,48,17,1,1:57,8,0
1,2,Karl Williams,191,85,1,2:35,70,0,Chase Sherman,170,64,0,0:12,54,0
0,1,Tim Means,92,45,2,0:46,40,0,Alex Morono,102,42,0,0:00,33,0
0,3,Ji Yeon Kim,62,32,0,5:44,10,0,Mandy Bohm,51,25,2,4:05,17,0
0,0,Daniel Rodriguez,25,7,0,0:00,7,0,Ian Garry,46,23,0,0:10,23,1
0,4,Bobby Green,69,23,0,0:01,23,0,Jared Gordon,53,17,0,0:00,17,0
1,2,Movsar Evloev,228,183,4,8:30,88,0,Diego Lopes,82,48,0,0:41,37,0
1,2,Pedro Munhoz,188,74,0,2:54,60,1,Chris Gutierrez,135,79,0,0:06,77,0
0,2,Anthony Smith,95,41,1,1:22,38,0,Johnny Walker,204,99,1,0:32,92,0
0,2,Dustin Jacoby,167,96,1,3:06,64,0,Azamat Murzakanov,130,70,1,0:16,67,1
0,2,Raul Rosas Jr.,19,2,3,4:50,2,0,Christian Rodriguez,115,83,1,7:30,29,0
1,0,Zak Cummings,189,114,0,3:18,100,3,Ed Herman,141,71,0,0:00,54,0
0,1,Jairzinho Rozenstruik,6,3,0,0:00,0,0,Jailton Almeida,19,14,1,3:09,4,0
0,0,Shayilan Nuerdanbieke,63,31,1,3:34,18,1,Steve Garcia,77,50,0,0:15,17,1
0,3,Andrea Lee,125,57,5,5:20,39,0,Maycee Barber,158,66,2,0:45,48,0
1,2,Gilbert Burns,135,72,4,5:41,42,0,Jorge Masvidal,130,77,0,0:05,39,0
1,0,Alexander Volkov,35,27,0,1:03,12,0,Alexandr Romanov,1,0,0,0:38,0,0
1,3,Leon Edwards,164,123,0,0:00,120,0,Kamaru Usman,232,113,4,5:03,87,0
1,2,Said Nurmagomedov,31,24,3,4:21,47,0,Jonathan Martinez,96,78,0,6:09,38,0
0,1,Nikita Krylov,134,101,2,2:39,7,0,Ryan Spann,11,5,1,0:32,5,0
0,2,Juliana Miller,98,49,0,1:19,30,0,Veronica Hardy,95,78,4,7:36,62,0
0,1,Tyson Nam,38,12,0,0:00,12,0,Bruno Silva,50,27,0,0:53,23,1
1,1,Jon Jones,14,8,2,0:57,5,0,Ciryl Gane,9,7,0,0:00,6,0
0,3,Mana Martinez,160,63,0,0:00,60,0,Cameron Saaiman,272,146,1,4:07,117,1
0,0,Derek Brunson,228,167,4,5:24,37,0,Dricus Du Plessis,132,84,1,1:25,71,1
0,1,Valentina Shevchenko,90,43,1,2:30,87,0,Alexa Grasso,308,182,0,1:22,59,0
1,3,Ode Osbourne,157,50,3,2:53,48,0,Charles Johnson,147,74,1,1:18,60,0
0,3,Rafael Alves,36,25,0,1:18,6,0,Nurullo Aliev,140,92,3,10:51,19,0
0,1,Jessica Andrade,147,56,0,0:00,53,0,Erin Blanchfield,124,53,1,1:03,51,0
0,2,Jordan Wright,261,199,0,0:13,29,0,Zac Pauga,114,85,0,8:40,59,0
0,2,Jim Miller,186,68,0,0:40,67,0,Alexander Hernandez,238,111,0,0:23,108,0
1,2,Jamall Emmers,170,79,1,4:45,62,0,Khusein Askhabov,127,40,0,0:58,30,0
1,1,Marcin Tybura,133,61,1,4:55,40,0,Carl Deaton,113,13,0,0:00,1,0
1,2,Joe Solecki,67,49,2,8:51,2,0,Blagoy Ivanov,29,34,0,0:00,34,0
0,2,JunYong Park,52,38,1,2:58,25,0,Devin Clark,22,8,0,0:00,39,0
1,1,Da Woon Jung,78,43,1,5:48,18,0,Denis Tiuliulin,136,96,3,5:02,8,0
1,1,Tatsuro Taira,5,5,1,3:49,1,0,Jesus Aguilar,2,2,0,0:23,2,0
0,2,Luan Lacerda,187,85,1,1:34,80,0,Cody Stamann,195,108,0,0:00,103,0
