Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Cannonier,Jared Cannonier,Marvin Vettori,-1,2,1,1,1,-1,2,1,1,1,-1,2,1,-1,1,1.0,"['49', '45', '49', '45', '48', '46']",-0.966,1.909,0.974,0.841,1.208
Petrosyan,Armen Petrosyan,Christian Leroy Duncan,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",0.8,1.0,0.4
Dalby,Nicolas Dalby,Muslim Salikhov,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",-0.676,0.946,1.0
Hernandez,Carlos Hernandez,Denys Bondar,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Bleda,Tereza Bleda,Gabriella Fernandes,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.917,"['30', '27', '30', '27', '30', '27']"
Bukauskas,Modestas Bukauskas,Zac Pauga,1,-1,1,--,--,1,-1,1,--,--,1,1,1,--,--,0.154,"['29', '28', '29', '28', '30', '27']",0.206,-0.852,0.264
Nunes,Amanda Nunes,Irene Aldana,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1.0,"['50', '44', '50', '44', '50', '43']",1.014,1.061,1.239,1.403,1.866
Ige,Dan Ige,Nate Landwehr,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",0.984,1.134,-0.266
Barriault,Marc-Andre Barriault,Eryk Anders,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.572,-0.326,0.96
Jasudavicius,Jasmine Jasudavicius,Miranda Maverick,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-0.457,1.086,1.057
