Number_of_Rounds,Opponent_A_Wins,Method,Opponent_A,Total_Strikes_Attempted_(A),Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Opponent_B,Total_Strikes_Attempted_(B),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision2,Decision3,Winner,Opponent_A_dec,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media score ratio of agreement,Rd1 Fans,Rd2 Fans,Rd3 Fans,Rd4 Fans,Rd5 Fans
5,1,2,Mackenzie Dern,340,42,23,1,0,0,3:08,19,49,22,0,0,0,0:00,13,39,30,0,1,0,3:23,29,50,24,0,1,0,2:03,16,30,27,0,1,0,4:38,27,Angela Hill,142,16,12,0,0,0,1:02,5,40,27,0,0,0,3:33,10,8,1,0,0,0,1:04,1,38,23,0,0,0,1:32,10,6,3,0,0,0,0:00,1,43 49,44 49,44 49,Dern,Mackenzie Dern,1,-1,2,1,2,1,-1,2,1,2,2,-1,2,1,2,1.0,1.622,-0.828,2.043,0.926,1.741
3,1,2,Karolina Kowalkiewicz,249,84,42,0,0,0,0:23,33,82,55,0,0,0,0:00,30,71,42,0,0,0,1:29,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Vanessa Demopoulos,237,71,28,0,0,0,0:00,20,86,22,0,0,0,0:00,13,64,18,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Kowalkiewicz,Karolina Kowalkiewicz,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,3,Ilir Latifi,105,44,28,0,0,0,0:00,8,17,11,0,1,0,2:12,5,16,10,0,1,0,1:38,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rodrigo Nascimento,160,73,34,0,0,0,0:00,26,36,15,0,0,0,0:00,10,43,19,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Nascimento,Rodrigo Nascimento,1,-1,1,--,--,1,-1,1,--,--,1,-1,-1,--,--,0.923,0.842,-0.684,0.316,nan,nan
3,1,2,Chase Hooper,340,101,60,0,0,0,0:55,44,90,56,0,0,1,0:54,43,54,33,0,1,0,2:05,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Nick Fiore,98,32,17,0,1,0,1:32,17,31,15,0,2,0,1:36,14,27,19,0,1,0,1:39,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26 30,27 30,27 30,Hooper,Chase Hooper,1,1,1,--,--,2,1,1,--,--,1,1,1,--,--,1.0,1.267,0.999,1.001,nan,nan
3,0,2,Takashi Sato,76,8,3,0,1,0,0:32,2,17,14,0,1,0,1:14,9,22,13,0,0,0,0:35,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Themba Gorimbo,158,16,7,0,1,0,3:58,1,30,18,1,1,0,3:20,15,10,8,0,1,0,3:57,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Gorimbo,Themba Gorimbo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Anthony Smith,95,22,10,0,1,0,1:22,8,34,18,0,0,0,0:00,8,36,10,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Johnny Walker,204,58,28,0,1,0,0:06,16,59,31,0,0,0,0:00,7,75,33,0,0,0,0:26,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,27 30,27 30,Walker,Johnny Walker,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,0.955,0.254,1.15,nan,nan
3,1,2,Karl Williams,191,43,19,0,1,0,1:41,14,63,23,0,0,0,0:23,17,59,28,0,0,0,0:31,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Chase Sherman,170,39,11,0,0,0,0:00,6,56,13,0,0,0,0:00,5,63,30,0,0,0,0:12,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Williams,Karl Williams,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,0.914,-0.392,-0.044,nan,nan
3,0,2,Cody Stamann,152,39,14,0,1,0,0:06,8,44,14,0,0,0,0:21,10,56,26,1,0,0,1:32,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Douglas Silva de Andrade,189,72,23,0,0,0,0:00,7,52,21,0,0,0,0:00,4,54,17,0,0,0,0:00,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Silva de Andrade,Douglas Silva de Andrade,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.714,0.531,0.698,-1.094,nan,nan
3,0,3,Ji Yeon Kim,62,5,1,0,0,0,2:43,1,26,9,0,0,1,1:54,4,5,0,0,0,0,1:07,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Mandy Bohm,51,3,3,0,1,1,1:59,2,23,12,0,1,0,1:42,7,5,2,0,0,0,0:24,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 28,28 27,27 28,Bohm,Mandy Bohm,1,-1,-1,--,--,-1,-1,-1,--,--,1,-1,-1,--,--,0.091,-0.696,0.033,0.043,nan,nan
5,1,3,Aljamain Sterling,261,34,20,0,2,0,1:37,5,55,29,0,0,0,0:00,10,29,26,0,1,0,1:30,12,52,36,0,1,0,0:38,11,40,24,0,0,0,0:15,13,Henry Cejudo,219,18,7,0,1,0,1:47,3,53,31,0,0,0,0:02,10,29,15,0,1,0,1:43,7,33,19,0,0,0,0:46,7,41,27,0,1,0,0:48,8,47 48,48 47,47 48,Sterling,Aljamain Sterling,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,0.913,0.904,-0.33,-0.167,0.826,-0.89
