Round score,Sig_Strikes_Attempted,Sig_Strikes_Attempted_Opp,Sig_Strikes_Landed,Sig_Strikes_Landed_Opp,KD,KD_Opp,TD,TD_Opp,Sub_Attempts,Sub_Attempts_Opp,Ctrl_Time,Ctrl_Time_Opp,Head_Strikes,Head_Strikes_Opp
1,42,16,23,12,1,0,0,0,0,0,188,62,19,5
-1,16,42,12,23,0,1,0,0,0,0,62,188,5,19
1,40,49,27,22,0,0,0,0,0,0,213,0,10,13
-1,49,40,22,27,0,0,0,0,0,0,0,213,13,10
2,39,8,30,1,0,0,1,0,0,0,203,64,29,1
-2,8,39,1,30,0,0,0,1,0,0,64,203,1,29
1,50,38,24,23,0,0,1,0,0,0,123,92,16,10
-1,38,50,23,24,0,0,0,1,0,0,92,123,10,16
2,30,6,27,3,0,0,1,0,0,0,278,0,27,1
-2,6,30,3,27,0,0,0,1,0,0,0,278,1,27
1,84,71,42,28,0,0,0,0,0,0,23,0,33,20
-1,71,84,28,42,0,0,0,0,0,0,0,23,20,33
1,82,86,55,22,0,0,0,0,0,0,0,0,30,13
-1,86,82,22,55,0,0,0,0,0,0,0,0,13,30
1,71,64,42,18,0,0,0,0,0,0,89,0,31,16
-1,64,71,18,42,0,0,0,0,0,0,0,89,16,31
1,73,44,34,28,0,0,0,0,0,0,0,0,26,8
-1,44,73,28,34,0,0,0,0,0,0,0,0,8,26
1,17,36,11,15,0,0,1,0,0,0,132,0,5,10
-1,36,17,15,11,0,0,0,1,0,0,0,132,10,5
1,43,16,19,10,0,0,0,1,0,0,0,98,15,7
-1,16,43,10,19,0,0,1,0,0,0,98,0,7,15
1,101,32,60,17,0,0,0,1,0,0,55,92,44,17
-1,32,101,17,60,0,0,1,0,0,0,92,55,17,44
1,90,31,56,15,0,0,0,2,1,0,54,96,43,14
-1,31,90,15,56,0,0,2,0,0,1,96,54,14,43
1,54,27,33,19,0,0,1,1,0,0,125,99,23,18
-1,27,54,19,33,0,0,1,1,0,0,99,125,18,23
1,16,8,7,3,0,0,1,1,0,0,238,32,1,2
-1,8,16,3,7,0,0,1,1,0,0,32,238,2,1
1,30,17,18,14,1,0,1,1,0,0,200,74,15,9
-1,17,30,14,18,0,1,1,1,0,0,74,200,9,15
1,10,22,8,13,0,0,1,0,0,0,237,35,5,10
-1,22,10,13,8,0,0,0,1,0,0,35,237,10,5
1,58,22,28,10,0,0,1,1,0,0,6,82,16,8
-1,22,58,10,28,0,0,1,1,0,0,82,6,8,16
1,59,34,31,18,0,0,0,0,0,0,0,0,7,8
-1,34,59,18,31,0,0,0,0,0,0,0,0,8,7
1,75,36,33,10,0,0,0,0,0,0,26,0,9,3
-1,36,75,10,33,0,0,0,0,0,0,0,26,3,9
1,43,39,19,11,0,0,1,0,0,0,101,0,14,6
-1,39,43,11,19,0,0,0,1,0,0,0,101,6,14
1,63,56,23,13,0,0,0,0,0,0,23,0,17,5
-1,56,63,13,23,0,0,0,0,0,0,0,23,5,17
1,59,63,28,30,0,0,0,0,0,0,31,12,22,15
-1,63,59,30,28,0,0,0,0,0,0,12,31,15,22
1,72,39,23,14,0,0,0,1,0,0,0,6,7,8
-1,39,72,14,23,0,0,1,0,0,0,6,0,8,7
1,52,44,21,14,0,0,0,0,0,0,0,21,4,10
-1,44,52,14,21,0,0,0,0,0,0,21,0,10,4
1,56,54,26,17,1,0,0,0,0,0,92,0,22,6
-1,54,56,17,26,0,1,0,0,0,0,0,92,6,22
1,3,5,3,1,0,0,1,0,1,0,119,163,2,1
-1,5,3,1,3,0,0,0,1,0,1,163,119,1,2
1,26,23,9,12,0,0,0,1,1,0,114,102,4,7
-1,23,26,12,9,0,0,1,0,0,1,102,114,7,4
1,5,5,0,2,0,0,0,0,0,0,67,24,0,0
-1,5,5,2,0,0,0,0,0,0,0,24,67,0,0
1,34,18,20,7,0,0,2,1,0,0,97,107,5,3
-1,18,34,7,20,0,0,1,2,0,0,107,97,3,5
1,53,55,31,29,0,0,0,0,0,0,2,0,10,10
-1,55,53,29,31,0,0,0,0,0,0,0,2,10,10
1,29,29,15,26,0,0,1,1,0,0,103,90,7,12
-1,29,29,26,15,0,0,1,1,0,0,90,103,12,7
1,52,33,36,19,0,0,1,0,0,0,38,46,11,7
-1,33,52,19,36,0,0,0,1,0,0,46,38,7,11
1,41,40,27,24,0,0,1,0,0,0,48,15,8,13
-1,40,41,24,27,0,0,0,1,0,0,15,48,13,8
1,39,31,19,15,0,0,0,0,0,0,0,0,9,7
-1,31,39,15,19,0,0,0,0,0,0,0,0,7,9
1,51,28,18,15,0,0,0,0,0,0,0,0,11,6
-1,28,51,15,18,0,0,0,0,0,0,0,0,6,11
1,59,22,25,14,0,0,0,0,0,0,0,0,20,7
-1,22,59,14,25,0,0,0,0,0,0,0,0,7,20
1,54,23,28,16,0,0,0,0,0,0,0,0,18,6
-1,23,54,16,28,0,0,0,0,0,0,0,0,6,18
1,80,43,42,21,0,0,0,0,0,0,0,0,34,9
-1,43,80,21,42,0,0,0,0,0,0,0,0,9,34
1,22,27,16,17,0,0,1,0,0,1,214,25,14,13
-1,27,22,17,16,0,0,0,1,1,0,25,214,13,14
1,66,24,39,10,0,0,1,0,0,0,140,0,37,7
-1,24,66,10,39,0,0,0,1,0,0,0,140,7,37
1,41,18,33,10,0,0,2,0,0,3,156,16,25,9
-1,18,41,10,33,0,0,0,2,3,0,16,156,9,25
1,46,22,21,12,0,0,0,0,0,0,93,29,19,4
-1,22,46,12,21,0,0,0,0,0,0,29,93,4,19
1,47,14,21,10,0,0,0,0,0,0,183,14,17,5
-1,14,47,10,21,0,0,0,0,0,0,14,183,5,17
1,75,21,38,10,0,0,0,0,0,0,132,0,23,9
-1,21,75,10,38,0,0,0,0,0,0,0,132,9,23
1,88,56,44,44,0,0,0,0,0,0,48,0,21,26
-1,56,88,44,44,0,0,0,0,0,0,0,48,26,21
1,90,60,39,40,0,0,0,0,0,0,18,0,17,25
-1,60,90,40,39,0,0,0,0,0,0,0,18,25,17
1,93,105,65,47,0,0,0,0,0,0,7,7,52,30
-1,105,93,47,65,0,0,0,0,0,0,7,7,30,52
1,34,39,27,20,0,0,1,0,0,0,95,34,7,7
-1,39,34,20,27,0,0,0,1,0,0,34,95,7,7
1,19,37,15,19,0,0,2,0,0,0,180,0,6,13
-1,37,19,19,15,0,0,0,2,0,0,0,180,13,6
1,74,23,43,17,0,0,0,0,0,0,0,26,34,7
-1,23,74,17,43,0,0,0,0,0,0,26,0,7,34
1,40,28,29,12,0,0,0,1,0,0,8,54,23,5
-1,28,40,12,29,0,0,1,0,0,0,54,8,5,23
1,79,41,35,18,0,0,0,0,0,0,0,0,31,7
-1,41,79,18,35,0,0,0,0,0,0,0,0,7,31
1,84,59,40,20,0,0,1,0,0,0,19,0,39,14
-1,59,84,20,40,0,0,0,1,0,0,0,19,14,39
1,99,51,45,27,0,0,0,0,0,0,57,20,32,20
-1,51,99,27,45,0,0,0,0,0,0,20,57,20,32
1,65,55,38,27,0,0,0,0,0,0,8,140,22,20
-1,55,65,27,38,0,0,0,0,0,0,140,8,20,22
1,61,53,33,22,0,0,0,0,0,0,77,74,24,11
-1,53,61,22,33,0,0,0,0,0,0,74,77,11,24
1,19,14,13,7,0,0,4,0,0,1,215,0,7,3
-1,14,19,7,13,0,0,0,4,1,0,0,215,3,7
1,33,40,21,22,0,0,4,0,0,0,198,5,16,12
-1,40,33,22,21,0,0,0,4,0,0,5,198,12,16
1,47,47,22,23,0,0,3,0,0,0,160,3,16,15
-1,47,47,23,22,0,0,0,3,0,0,3,160,15,16
1,29,55,24,21,0,0,0,0,0,0,35,54,13,15
-1,55,29,21,24,0,0,0,0,0,0,54,35,15,13
1,53,42,23,28,0,0,1,0,0,0,133,7,11,14
-1,42,53,28,23,0,0,0,1,0,0,7,133,14,11
1,33,42,24,19,0,0,0,1,0,0,25,103,10,12
-1,42,33,19,24,0,0,1,0,0,0,103,25,12,10
1,43,50,17,8,0,0,0,0,0,0,0,0,13,1
-1,50,43,8,17,0,0,0,0,0,0,0,0,1,13
1,29,42,11,12,0,0,2,0,0,0,44,61,7,2
-1,42,29,12,11,0,0,0,2,0,0,61,44,2,7
1,46,53,25,9,0,0,2,0,0,0,2,3,13,3
-1,53,46,9,25,0,0,0,2,0,0,3,2,3,13
1,38,18,17,11,0,1,2,0,0,0,211,59,14,10
-1,18,38,11,17,1,0,0,2,0,0,59,211,10,14
1,33,12,16,6,0,1,1,0,0,0,189,30,15,5
-1,12,33,6,16,1,0,0,1,0,0,30,189,5,15
1,5,7,3,3,0,0,3,0,0,0,272,0,0,2
-1,7,5,3,3,0,0,0,3,0,0,0,272,2,0
1,26,19,11,8,0,0,0,0,0,0,90,0,5,3
-1,19,26,8,11,0,0,0,0,0,0,0,90,3,5
1,28,18,11,7,0,0,0,0,0,0,125,117,7,4
-1,18,28,7,11,0,0,0,0,0,0,117,125,4,7
1,31,33,18,13,1,0,0,1,0,0,76,79,12,6
-1,33,31,13,18,0,1,1,0,0,0,79,76,6,12
1,20,47,5,5,0,0,0,0,0,0,0,76,1,4
-1,47,20,5,5,0,0,0,0,0,0,76,0,4,1
1,34,56,12,6,0,0,0,0,0,0,17,11,4,3
-1,56,34,6,12,0,0,0,0,0,0,11,17,3,4
1,29,25,4,10,0,0,2,0,2,0,173,0,3,1
-1,25,29,10,4,0,0,0,2,0,2,0,173,1,3
1,62,33,27,11,0,0,0,0,0,0,0,0,13,4
-1,33,62,11,27,0,0,0,0,0,0,0,0,4,13
