Opponent A,Opponent B,Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision1B,Decision2,Decision2B,Decision3,Decision3B
Marvin Vettori,Jared Cannonier,71,38,0,0,0,0:00,31,50,24,0,0,0,0:00,21,50,31,0,1,0,0:23,23,76,37,0,0,0,0:00,26,54,23,0,0,0,0:05,16,66,29,0,0,0,0:00,14,125,82,0,0,0,0:46,62,81,49,0,1,0,0:43,36,57,32,0,1,0,0:34,22,82,49,0,2,0,1:04,39,45,49,45,49,46,48
Armen Petrosyan,Christian Leroy Duncan,66,37,0,0,0,0:00,10,62,36,0,0,0,1:04,19,28,16,0,1,0,2:17,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,27,0,0,0,0:00,10,43,20,0,0,0,0:41,6,28,12,0,0,0,0:28,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Nicolas Dalby,Muslim Salikhov,44,21,0,0,0,0:07,7,27,17,0,1,0,3:21,9,69,48,0,1,0,3:08,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,27,0,1,0,0:18,14,14,10,0,1,0,0:27,5,29,20,0,0,0,0:10,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Carlos Hernandez,Denys Bondar,71,35,0,0,0,0:09,28,82,27,0,0,0,0:08,23,80,40,0,2,0,0:23,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48,22,0,0,0,0:09,6,61,33,0,1,0,0:14,20,61,21,0,1,0,0:06,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Tereza Bleda,Gabriella Fernandes,35,13,0,1,0,3:02,5,21,14,0,1,0,4:29,9,43,30,0,1,0,3:20,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,6,0,0,0,0:00,1,4,2,0,0,0,0:10,0,30,15,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Zac Pauga,Modestas Bukauskas,29,15,0,1,0,2:04,11,48,27,0,0,0,0:10,14,40,25,0,0,0,0:03,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,13,0,0,0,0:00,9,40,23,0,0,0,0:01,18,43,20,0,0,0,1:19,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,30
Amanda Nunes,Irene Aldana,56,21,0,0,0,0:01,9,61,31,0,1,0,0:05,16,47,23,0,3,0,2:05,20,77,48,0,1,0,0:13,36,26,19,0,1,0,4:36,16,31,8,0,0,0,0:00,5,38,11,0,0,0,0:00,4,22,8,0,0,0,0:03,7,48,13,0,0,0,0:07,9,4,1,0,0,0,0:00,0,50,44,50,44,50,43
Dan Ige,Nate Landwehr,45,14,0,0,0,0:00,8,78,41,1,0,0,0:22,28,61,33,0,0,0,0:19,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,12,0,0,0,0:00,9,69,30,0,0,0,0:00,20,82,32,0,0,0,0:26,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Marc-Andre Barriault,Eryk Anders,49,30,1,0,0,0:40,23,61,24,0,0,0,0:00,11,82,41,0,0,0,0:00,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,37,0,0,0,1:40,18,51,24,0,1,0,0:59,12,56,22,0,0,0,0:39,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Miranda Maverick,Jasmine Jasudavicius,27,20,0,0,0,0:07,5,30,15,0,0,0,0:00,9,70,28,0,0,0,0:00,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,10,0,1,0,2:48,6,33,12,0,0,0,3:21,7,102,45,0,0,0,1:26,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Kyle Nelson,Blake Bilder,47,19,0,0,0,1:18,10,39,19,0,0,0,0:00,8,40,21,0,0,0,1:03,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,22,0,0,0,0:22,15,30,12,0,0,0,1:14,4,39,11,0,0,0,1:09,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
David Dvorak,Steve Erceg,46,20,0,0,0,0:00,8,49,23,0,0,0,1:10,12,19,10,0,1,0,0:47,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,16,0,0,0,0:00,8,51,18,0,0,1,0:04,11,33,20,0,3,0,1:25,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,30
Diana Belbita,Maria Oliveira,84,41,0,0,0,0:22,30,37,22,0,1,0,1:29,9,87,43,0,0,0,0:13,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66,28,0,1,0,1:20,19,17,7,0,1,0,2:37,5,85,29,0,0,0,0:09,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Kai Kara-France,Amir Albazi,40,13,0,0,0,0:00,7,55,16,0,0,0,0:00,10,19,9,0,1,0,0:47,8,65,27,0,1,0,0:11,12,104,34,0,0,0,0:00,20,23,6,0,0,0,1:01,2,37,11,0,0,0,0:17,8,9,3,0,1,1,3:36,3,29,5,0,0,0,0:23,2,47,18,0,0,0,0:53,16,48,47,47,48,47,48
Alex Caceres,Daniel Pineda,30,15,0,0,0,3:02,9,9,5,0,0,0,0:43,2,60,40,0,1,0,0:41,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,5,0,1,1,0:16,1,14,9,0,2,0,3:36,8,35,13,0,0,0,0:05,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Tim Elliott,Victor Altamirano,14,9,0,2,0,4:43,8,9,5,0,2,0,3:08,4,34,14,0,2,0,3:22,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,2,0,0,0,0:00,0,13,7,0,1,0,1:04,4,18,10,0,0,0,0:00,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,16,12,0,0,0,2:39,5,16,5,0,1,0,2:20,2,22,12,0,0,0,1:17,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,10,0,0,0,0:00,3,32,14,0,0,0,0:06,3,47,18,0,0,0,0:09,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,28,29
Daniel Santos,Johnny Munoz,28,7,0,0,0,2:54,3,41,29,0,1,0,4:01,18,22,14,0,2,0,3:52,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,8,0,0,1,0:21,3,15,6,0,0,0,0:25,3,7,4,0,1,0,0:33,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,27,29,27
